Ubicación,Potencia (kW),Tipo de conecto,Cantidad,
"Las Palmas-Aeropuerto José María Córdova, Rionegro, Antioquia, Colombia",50,CHAdeMO,1,Atioquia
,50,CCS/SAE,1,Atioquia
KM. 19 Aut. Medellín Bogota Municipio de Guarne,,CHAdeMO,3,Atioquia
,,CCS/SAE,3,Atioquia
,,Type 2,3,Atioquia
"Niquia, Bello, Antioquia, Colombia",,Type 2,1,Atioquia
,,J-1772,1,Atioquia
"#65-2 a, Cra. 65, Medellín, Antioquia, Colombia, Centro Comercial Florida",,J-1772,1,Atioquia
,,Type 2,1,Atioquia
"Cra. 57, Medellín, Antioquia, Colombia, Plaza mayor",,Type 2,2,Atioquia
,,J-1772,2,Atioquia
,,Wall (Euro),2,Atioquia
"Cra. 66a #34-2, Medellín, Antioquia, Colombia, Unicentro",,Wall,4,Atioquia
,,Type 2,1,Atioquia
,,J-1772,1,Atioquia
,,Wall (Euro),1,Atioquia
"Cl. 39c #73-33, Medellín, Antioquia, Colombia, Primer parque de Laureles",,Wall (Euro),1,Atioquia
,,J-1772,1,Atioquia
,,Type 2,1,Atioquia
"Carrera 80AA #3657, Medellín, Antioquia, Colombia, Viva Laureles",,Wall (Euro),1,Atioquia
,,J-1772,1,Atioquia
,,Type 2,1,Atioquia
"Cl. 36 #53-35, Medellín, Antioquia, Colombia, EDS Colibrí",,CHAdeMO,1,Atioquia
,,Wall,1,Atioquia
,,Type 2,1,Atioquia
,,J-1772,1,Atioquia
,,Wall (Euro),1,Atioquia
"transversal 39b, Cra. 79a, Medellín, Antioquia, Colombia, EDS Av. Nutivara",,CHAdeMO,1,Atioquia
,,Type 2,1,Atioquia
"Calle 30A ##82a-26, Medellín, Antioquia, Colombia,  Centro Comercial Los Molinos",,J-1772,1,Atioquia
,,Type 2,1,Atioquia
"Calle 10 #50-35, Mall Autos Sura",,J-1772,1,Atioquia
,,Wall (Euro),1,Atioquia
,,Type 2,1,Atioquia
"Av. Las Palmas #35-81, Medellín, Antioquia, Colombia, Mall Palms Avenue",,Type 2,1,Atioquia
,,Wall (Euro),1,Atioquia
"Calle 10 #50-35, Mall Autos Sura",,J-1772,1,Atioquia
,,Wall (Euro),1,Atioquia
,,Type 2,1,Atioquia
"Cra. 46 #9-43, Medellín, Antioquia, Colombia, Exito El Poblado",,J-1772,1,Atioquia
,,Type 2,1,Atioquia
"Calle 10A 22-2–22-40, Medelin, Departamento de Antioquia, Colômbia, CES Universidad",,J-1772,1,Atioquia
,,Type 2,1,Atioquia
,,Wall (Euro),1,Atioquia
"Cra. 42A, Medellín, Antioquia, Colombia, San Fernando Plaza",,J-1772,1,Atioquia
,,Type 2,1,Atioquia
,,Wall (Euro),1,Atioquia
"Carrera 42 nº3 Sur - 81 Oficina 1303, Torre 1 Edificio Milla de Oro, Medellín, Antioquia, Colombia, Distrito de Negocios Milla de Oro",,Type 2,1,Atioquia
,,J-1772,1,Atioquia
,,Wall (Euro),1,Atioquia
"Entrada Al Parqueadero 1–99, Medellin, Colombia, Oviedo Centro Comercial",,J-1772,1,Atioquia
,,Wall (Euro),1,Atioquia
,,Type 2,1,Atioquia
"Av. El Poblado #7 Sur-198, Medellín, Antioquia, Colombia, Centro Comercial Santafé",,Wall (Euro),1,Atioquia
,,Type 2,1,Atioquia
,,J-1772,1,Atioquia
"Cra. 25 #1a-45, Medellín, Antioquia, Colombia, Parque Comercial El Tesoro",,J-1772,1,Atioquia
,,Type 2,1,Atioquia
"Carrera 25 2-99–2-99-1, Medelin, Departamento de Antioquia, Colômbia, Mall Del Este",,Wall (Euro),1,Atioquia
,,J-1772,1,Atioquia
,,Type 2,1,Atioquia
"Cra 43A #1 Sur-150, Medellín, Antioquia, Colombia, Mall La Strada Sótano 1",,J-1772,1,Atioquia
,,Wall (Euro),1,Atioquia
"Cl. 30 Sur, Envigado, Antioquia, Colombia",50,CHAdeMO,1,Atioquia
,50,CCS/SAE,1,Atioquia
,22,Type 2,1,Atioquia
"#32B Sur-139, Cra. 48, Envigado, Antioquia, Colombia, Viva Envigado",,J-1772,1,Atioquia
,,Type 2,1,Atioquia
,,Wall (Euro),1,Atioquia
"Cra. 48 #51 Sur-23, Sabaneta, Antioquia, Colombia, Cra. 48 #51 Sur-23, Sabaneta, Antioquia, Colombia, Centro Comercial Mayorca",,J-1772,1,Atioquia
,,Type 2,1,Atioquia
"Calle 57S #48-25, Sabaneta, Antioquia, Terpel Mayorca",,Type 2,1,Atioquia
"Carrera 48 # 72 Sur - 01, EDS Santa María",,CHAdeMO,1,Atioquia
"Km. 17 750, Vía El Escobero Las Palmas, Envigado, Viva Palmas",,Type 2,1,Atioquia
,,J-1772,1,Atioquia
"km 1 vía la lizama, San Alberto, Cesar, Colombia. Holtel Escorpion",,J-1772,1,Cesar
"Ecorecarga - ESD Petrobras - Bucaramanga, Santander, Colombia, Calle 45 con Cra 21",,J-1772,1,Santander
,,Type 2,1,Santander
CC CACIQUE - Bucaramanga- Santander- Colombia  Trans 93#34-99, ,J-1772,1,Santander
,,Type 2,1,Santander
"Calle 23 5-7–5-99, Santa Marta, Departamento del Magdalena, Colômbia Êxito Vecino",,Wall (Euro),1,Magdalena
"90A, Provincia de Cartagena, Bolívar, Colombia, Universidad de Los Andes - Sede Caribe",,J-1772,1,Bolivar
,,Wall,1,Bolivar
"Duitama, Av circunvalar Duitama, Hospital Regional
",,J-1772,1,Boyaca
,,CHAdeMO,1,Boyaca
,,Three Phase,1,Boyaca
"Carrera 6 50-100–50-52, Tunja, Colombie Renault Alborautos",50,CHAdeMO,1,Boyaca
"salida Bogotá - Medellín 300 metros adelante del peaje de Siberia - Vereda La Punta Bomba Terpel la Báscula
",50,CHAdeMO,1,Cundinamarca
,50,CCS/SAE,1,Cundinamarca
,43,Type 2,1,Cundinamarca
"Calle 127B # 7-15, Bogotá, Colombia, Autogermana Cl 127",,J-1772,2,Cundinamarca
"Ak. 15 #124-2, Bogotá, Colombia, Estación De Recarga Eléctrica Unicentro
",,CCS/SAE,1,Cundinamarca
,,Type 2,1,Cundinamarca
,,J-1772,1,Cundinamarca
calle 116 # 15,,Type 2,5,Cundinamarca
"Ak. 19, #11450, Bogotá, Colombia",,Type 2,5,Cundinamarca
Parqueadero Lugano Carrera 15 #102-27,,J-1772,1,Cundinamarca
,,Type 2,1,Cundinamarca
Nissan,,J-1772,1,Cundinamarca
Centro comercial el retiro,,J-1772,2,Cundinamarca
,,Type 2,1,Cundinamarca
,,Wall (Euro),1,Cundinamarca
Parqueadero Aparcar Calle 77,,Type 2,5,Cundinamarca
EDS Terpel Cruz Roja,,Wall,1,Cundinamarca
,,J-1772,1,Cundinamarca
Estación De Carga Bolera Salitre,,Type 2,13,Cundinamarca
CC Galerias,,J-1772,2,Cundinamarca
Banco de Bogotá - Sede principal,,J-1772,1,Cundinamarca
,,Type 2,1,Cundinamarca
Taller de soldadura,,Wall (Euro),1,Cundinamarca
Estadero El Mirador,,Wall (Euro),1,Tolima
tecniautos avenida,,Wall (Euro),1,Risaraldas
Energía Pereira éxito cuba,,Wall (Euro),1,Risaraldas
,,Type 2,1,Risaraldas
,,CCS/SAE,1,Risaraldas
,,CHAdeMO,1,Risaraldas
,,J-1772,1,Risaraldas
,,Wall,1,Risaraldas
"Calarca, Quindio, Colombia",,Wall (Euro),1,Quindio
Centro Comercial Calima,,J-1772,1,Quindio
,,Type 2,1,Quindio
Esso (Coming Soon),,CHAdeMO,2,Quindio
,,CCS/SAE,2,Quindio
,,Type 2,1,Quindio
Frisby Parque del Café,,Type 2,1,Quindio
,,J-1772,1,Quindio
Mall El Paraíso,,Type 2,1,Quindio
Mercacentro,,Type 2,1,Tolima
,,CHAdeMO,1,Tolima
,,CCS/SAE,1,Tolima
Taller de mecánica,,Wall (Euro),1,Tolima
CC. La ESTACION,,Type 2,1,Tolima
,,J-1772,1,Tolima
,,Wall (Euro),1,Tolima
Éxito La Florida,,J-1772,2,Valle de Cauca
,,Wall (Euro),4,Valle de Cauca
Celsia Sura,,Wall (Euro),1,Valle de Cauca
,,J-1772,1,Valle de Cauca
,,Type 2,1,Valle de Cauca
,,Wall,4,Valle de Cauca
Celsia Unicentro,,Wall (Euro),1,Valle de Cauca
,,J-1772,1,Valle de Cauca
,,Type 2,1,Valle de Cauca
Universidad Icesi (Celsia),,J-1772,1,Valle de Cauca
,,Wall (Euro),1,Valle de Cauca
,,Type 2,1,Valle de Cauca
BMW AUTO BONN,,J-1772,2,Valle de Cauca
Zona America,,J-1772,1,Valle de Cauca
,,Type 2,1,Valle de Cauca
,,Wall (Euro),1,Valle de Cauca
Hotel Borbón,,Type 2,1,Huila
Éxito Panamericana,,J-1772,2,Cauca
Taller de soldadura,,Wall (Euro),1,Cauca
